Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,High-PreClose,PreClose-Low,High-Open,Open-Low,High-Low,PreClose-Open
TATAMOTORS,EQ,20-Dec-17,420.1,421.95,427.75,419.25,422.65,422.6,424.43,11191127,4749799735,143094,4301929,38.44,7.65,0.85,5.8,2.7,8.5,-1.85
TATAMOTORS,EQ,21-Dec-17,422.6,424,426.05,419.55,420.85,420.8,422.01,4885225,2061605756,54454,2175459,44.53,3.45,3.05,2.05,4.45,6.5,-1.4
TATAMOTORS,EQ,22-Dec-17,420.8,422.05,426.4,420.9,421.4,422,423.68,5345261,2264692733,62188,2171778,40.63,5.6,-0.1,4.35,1.15,5.5,-1.25
TATAMOTORS,EQ,26-Dec-17,422,422,425.15,421.15,423,424.2,423.33,3700655,1566613536,43634,1892499,51.14,3.15,0.85,3.15,0.85,4,0
TATAMOTORS,EQ,27-Dec-17,424.2,423.5,428.45,420.3,421.1,422.45,425.01,3673355,1561203790,42770,1300007,35.39,4.25,3.9,4.95,3.2,8.15,0.7
TATAMOTORS,EQ,28-Dec-17,422.45,423.5,423.7,416,417.5,418.6,419.81,5018893,2106980564,37930,2852689,56.84,1.25,6.45,0.2,7.5,7.7,-1.05
TATAMOTORS,EQ,29-Dec-17,418.6,418,433.45,417.15,431.2,431.85,427.34,8640908,3692596132,83507,3078517,35.63,14.85,1.45,15.45,0.85,16.3,0.6
TATAMOTORS,EQ,1-Jan-18,431.85,430.95,436.4,422.25,424.5,424.45,430.49,6807536,2930582408,58464,2227737,32.72,4.55,9.6,5.45,8.7,14.15,0.9
TATAMOTORS,EQ,2-Jan-18,424.45,428.85,440.85,422,438.2,439.3,433.41,15331261,6644793062,139880,5488117,35.8,16.4,2.45,12,6.85,18.85,-4.4
TATAMOTORS,EQ,3-Jan-18,439.3,440.4,441.4,431.95,433.45,433.9,435.06,9794953,4261434557,89076,4383694,44.75,2.1,7.35,1,8.45,9.45,-1.1
TATAMOTORS,EQ,4-Jan-18,433.9,430,433.3,425.75,430,429.95,429.56,8395377,3606286651,79502,2826424,33.67,-0.6,8.15,3.3,4.25,7.55,3.9
TATAMOTORS,EQ,5-Jan-18,429.95,431.25,436.35,429.8,430.35,431.6,432.92,7021611,3039780583,69031,2962590,42.19,6.4,0.15,5.1,1.45,6.55,-1.3
TATAMOTORS,EQ,8-Jan-18,431.6,432,436.2,431.65,432.75,433.55,433.92,4635214,2011329512,52542,1979731,42.71,4.6,-0.05,4.2,0.35,4.55,-0.4
TATAMOTORS,EQ,9-Jan-18,433.55,434.25,443.5,433,435.5,437.55,438.96,12629045,5543644040,145372,6215533,49.22,9.95,0.55,9.25,1.25,10.5,-0.7
TATAMOTORS,EQ,10-Jan-18,437.55,438,439.3,431.3,432.6,433.3,434.76,4702579,2044492977,44185,1924980,40.93,1.75,6.25,1.3,6.7,8,-0.45
TATAMOTORS,EQ,11-Jan-18,433.3,433.5,437.6,432.9,434,434.75,435.64,4565005,1988689448,54034,2311492,50.64,4.3,0.4,4.1,0.6,4.7,-0.2
